escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C1_dass_anxiety,7,10,10000,0.0801,0.077,0.0678,0.009,NA,0.073,0.0713,0.0882,0.049,0.1583,0.0618,0,0,0,0,10000,0,0,0,0,0,0,81.17782759666443
C1_dass_anxiety,7,25,10000,0.2005,0.1699,0.1206,0.0157,0.0755,0.1472,0.125,0.1197,0.0973,0.343,0.1424,0,0,0,0,0,0,0,0,0,0,0,82.95368266105652
C1_dass_anxiety,7,50,10000,0.5308,0.4042,0.2574,0.0299,0.1834,0.3211,0.353,0.1969,0.1959,0.5891,0.378,0,0,0,0,0,0,0,0,0,0,0,78.73375034332275
C1_dass_anxiety,7,100,10000,0.9426,0.8008,0.569,0.3159,0.6523,0.6638,0.8409,0.4562,0.3831,0.8479,0.7575,0,0,0,0,0,0,0,0,0,0,0,78.26720809936523
C1_dass_anxiety,7,250,10000,1,0.9997,0.9803,0.9991,0.9999,0.9928,1,0.9762,0.7957,0.9972,0.9991,0,0,0,0,0,0,0,0,0,0,0,86.99191474914551
C1_dass_anxiety,7,500,10000,1,1,1,1,1,1,1,1,0.9801,1,1,0,0,0,0,0,0,0,0,0,0,0,104.7256064414978
C1_dass_anxiety,7,1000,10000,1,1,1,1,1,1,1,1,0.9999,1,1,0,0,0,0,0,0,0,0,0,0,0,141.34283757209778
C1_dass_anxiety,7,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,178.65984106063843
