escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
B1_riasec_realistic,4,10,10000,0.1463,0.1322,0.111,0.025,NA,0.1211,0.136,0.1406,0.0729,0.1586,0.1176,0,0,0,0,10000,0,0,0,0,0,0,79.33270311355591
B1_riasec_realistic,4,25,10000,0.4468,0.3568,0.2482,0.0939,0.1837,0.2967,0.3614,0.254,0.0829,0.354,0.3238,0,0,0,0,0,0,0,0,0,0,0,81.48895978927612
B1_riasec_realistic,4,50,10000,0.8779,0.7415,0.5525,0.2778,0.3696,0.6216,0.7849,0.4954,0.076,0.6578,0.6759,0,0,0,0,0,0,0,0,0,0,0,77.35393071174622
B1_riasec_realistic,4,100,10000,0.9996,0.9875,0.9303,0.851,0.8908,0.9449,0.9975,0.9227,0.0627,0.9123,0.9671,0,0,0,0,0,0,0,0,0,0,0,75.14221262931824
B1_riasec_realistic,4,250,10000,1,1,1,1,1,1,1,1,0.0669,0.9997,1,0,0,0,0,0,0,0,0,0,0,0,83.8412139415741
B1_riasec_realistic,4,500,10000,1,1,1,1,1,1,1,1,0.0789,1,1,0,0,0,0,0,0,0,0,0,0,0,101.13216710090636
B1_riasec_realistic,4,1000,10000,1,1,1,1,1,1,1,1,0.1286,1,1,0,0,0,0,0,0,0,0,0,0,0,136.89017391204834
B1_riasec_realistic,4,1500,10000,1,1,1,1,1,1,1,1,0.1713,1,1,0,0,0,0,0,0,0,0,0,0,0,171.8569827079773
