escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C9_rse_total,6,10,10000,0.0414,0.0415,0.0465,0.0026,NA,0.0412,0.0372,0.0646,0.0314,0.1285,0.0321,0,0,0,0,10000,0,0,0,0,0,0,95.01358270645142
C9_rse_total,6,25,10000,0.04,0.0481,0.0541,8e-4,0.0269,0.0492,0.0196,0.0719,0.0684,0.1871,0.0281,0,0,0,0,0,0,0,0,0,0,0,96.8773090839386
C9_rse_total,6,50,10000,0.0769,0.0786,0.0797,5e-4,0.0903,0.0749,0.0273,0.0805,0.1855,0.2396,0.0614,0,0,0,0,0,0,0,0,0,0,0,92.16653609275818
C9_rse_total,6,100,10000,0.2049,0.1487,0.1475,0.0017,0.2959,0.1217,0.0705,0.1492,0.4522,0.3542,0.1207,0,0,0,0,0,0,0,0,0,0,0,88.5366096496582
C9_rse_total,6,250,10000,0.8657,0.5214,0.4575,0.3414,0.847,0.3746,0.5842,0.6617,0.9327,0.6809,0.4665,0,0,0,0,0,0,0,0,0,0,0,97.67235565185548
C9_rse_total,6,500,10000,1,0.948,0.8591,0.9653,0.9976,0.8018,0.9976,0.9876,0.9993,0.9227,0.8796,0,0,0,0,0,0,0,0,0,0,0,115.96408557891846
C9_rse_total,6,1000,10000,1,1,0.9988,1,1,0.9994,1,0.9993,1,0.9981,0.9992,0,0,0,0,0,0,0,0,0,0,0,153.62192273139954
C9_rse_total,6,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,190.68945264816284
