bloque,bloque_nombre,familia,parametro,subescala,instrumento,N,escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
1,Replica directa (8 familias),chi2,15,NA,NA,NA,NA,NA,25,10000,0.2189,0.1829,0.1303,0.1351,0.1997,0.1649,0.2141,0.1148,0.1154,0.1441,0.2172,0,0,0,0,0,0,0,0,0,0,0,81.84162282943726
1,Replica directa (8 familias),chi2,15,NA,NA,NA,NA,NA,50,10000,0.4256,0.3421,0.2373,0.3044,0.3569,0.2982,0.4067,0.1431,0.1711,0.2229,0.4171,0,0,0,0,0,0,0,0,0,0,0,75.91907930374146
1,Replica directa (8 familias),chi2,15,NA,NA,NA,NA,NA,100,10000,0.7411,0.6142,0.4242,0.6053,0.6346,0.544,0.7067,0.2352,0.2481,0.3789,0.7324,0,0,0,0,0,0,0,0,0,0,0,74.10586190223694
1,Replica directa (8 familias),chi2,15,NA,NA,NA,NA,NA,250,10000,0.9921,0.96,0.8188,0.9809,0.9814,0.9247,0.9877,0.5844,0.4127,0.7632,0.9908,0,0,0,0,0,0,0,0,0,0,0,84.43663120269775
1,Replica directa (8 familias),chi2,15,NA,NA,NA,NA,NA,500,10000,1,1,0.9886,1,1,0.9992,1,0.921,0.6323,0.9726,1,0,0,0,0,0,0,0,0,0,0,0,101.27679514884947
1,Replica directa (8 familias),chi2,18,NA,NA,NA,NA,NA,10,10000,0.0838,0.0793,0.0747,0.0218,NA,0.0755,0.0906,0.0843,0.0618,0.1167,0.0851,0,0,0,0,10000,0,0,0,0,0,0,82.07130169868469
1,Replica directa (8 familias),chi2,18,NA,NA,NA,NA,NA,25,10000,0.1843,0.1566,0.1197,0.1183,0.1774,0.1446,0.1848,0.1024,0.1046,0.1407,0.1866,0,0,0,0,0,0,0,0,0,0,0,82.27058792114258
1,Replica directa (8 familias),chi2,18,NA,NA,NA,NA,NA,50,10000,0.3648,0.2857,0.2,0.2594,0.3119,0.2531,0.3466,0.118,0.1492,0.1922,0.3573,0,0,0,0,0,0,0,0,0,0,0,81.58078837394714
1,Replica directa (8 familias),chi2,18,NA,NA,NA,NA,NA,100,10000,0.6531,0.5197,0.3601,0.5209,0.5539,0.4563,0.6199,0.1921,0.2099,0.3238,0.6455,0,0,0,0,0,0,0,0,0,0,0,79.10774493217468
1,Replica directa (8 familias),chi2,18,NA,NA,NA,NA,NA,250,10000,0.9767,0.9186,0.7509,0.9537,0.9557,0.8724,0.9674,0.4739,0.356,0.6811,0.9751,0,0,0,0,0,0,0,0,0,0,0,86.94151401519775
1,Replica directa (8 familias),chi2,18,NA,NA,NA,NA,NA,500,10000,0.9999,0.9986,0.9663,0.9998,0.9998,0.9954,0.9998,0.8351,0.5382,0.9327,0.9998,0,0,0,0,0,0,0,0,0,0,0,100.43805718421936
1,Replica directa (8 familias),convolucion_uniforme_normal,0,NA,NA,NA,NA,NA,10,10000,0.0829,0.0799,0.0613,0.0014,NA,0.0733,0.0489,0.0875,0.0713,0.2484,0.0384,0,0,0,0,10000,0,0,0,0,0,0,75.79173469543457
1,Replica directa (8 familias),convolucion_uniforme_normal,0,NA,NA,NA,NA,NA,25,10000,0.2871,0.2277,0.1137,2e-4,0.2648,0.1838,0.1218,0.1246,0.4337,0.6435,0.1859,0,0,0,0,0,0,0,0,0,0,0,76.78164339065552
1,Replica directa (8 familias),convolucion_uniforme_normal,0,NA,NA,NA,NA,NA,50,10000,0.7466,0.5721,0.2558,2e-4,0.8025,0.4336,0.4747,0.1894,0.8897,0.8915,0.5993,0,0,0,0,0,0,0,0,0,0,0,72.74217247962952
1,Replica directa (8 familias),convolucion_uniforme_normal,0,NA,NA,NA,NA,NA,100,10000,0.9959,0.9441,0.5931,0.5675,0.997,0.8398,0.9656,0.4605,0.9989,0.9937,0.9529,0,0,0,0,0,0,0,0,0,0,0,70.31721901893616
1,Replica directa (8 familias),convolucion_uniforme_normal,0,NA,NA,NA,NA,NA,250,10000,1,1,0.9872,1,1,0.9997,1,0.9764,1,1,1,0,0,0,0,0,0,0,0,0,0,0,75.34525918960571
1,Replica directa (8 familias),convolucion_uniforme_normal,0,NA,NA,NA,NA,NA,500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,89.71287274360657
1,Replica directa (8 familias),convolucion_uniforme_normal,0.2,NA,NA,NA,NA,NA,10,10000,0.0772,0.0759,0.0625,0.0022,NA,0.0697,0.0496,0.0848,0.0656,0.2364,0.0421,0,0,0,0,10000,0,0,0,0,0,0,71.75110006332397
1,Replica directa (8 familias),convolucion_uniforme_normal,0.2,NA,NA,NA,NA,NA,25,10000,0.2393,0.2041,0.1074,2e-4,0.2363,0.167,0.1006,0.114,0.4054,0.6067,0.167,0,0,0,0,0,0,0,0,0,0,0,73.08986282348633
