escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C3_mach_total,7,10,10000,0.0432,0.0446,0.0462,0.0035,NA,0.0437,0.0411,0.067,0.0296,0.1275,0.0331,0,0,0,0,10000,0,0,0,0,0,0,81.73708367347717
C3_mach_total,7,25,10000,0.0482,0.0528,0.0501,0.0024,0.03,0.0507,0.0245,0.0668,0.0693,0.1894,0.0346,0,0,0,0,0,0,0,0,0,0,0,84.85446047782898
C3_mach_total,7,50,10000,0.1095,0.0961,0.0731,0.0016,0.0954,0.083,0.0418,0.0765,0.1822,0.2627,0.0785,0,0,0,0,0,0,0,0,0,0,0,80.84810185432434
C3_mach_total,7,100,10000,0.3401,0.1984,0.1497,0.0072,0.32,0.1452,0.1447,0.1197,0.4452,0.4149,0.1769,0,0,0,0,0,0,0,0,0,0,0,75.4065158367157
C3_mach_total,7,250,10000,0.973,0.655,0.4413,0.5685,0.9103,0.4278,0.8475,0.3995,0.9183,0.7639,0.6336,0,0,0,0,0,0,0,0,0,0,0,84.08496117591858
C3_mach_total,7,500,10000,1,0.9881,0.8602,0.9962,0.9995,0.8652,1,0.9866,0.9986,0.9666,0.9743,0,0,0,0,0,0,0,0,0,0,0,99.96331858634947
C3_mach_total,7,1000,10000,1,1,0.9991,1,1,0.9999,1,1,1,0.9996,1,0,0,0,0,0,0,0,0,0,0,0,134.80954813957214
C3_mach_total,7,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,174.24188256263733
