escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C7_riasec_investigative,5,10,10000,0.0449,0.0466,0.0448,0.0026,NA,0.0428,0.0359,0.0681,0.0347,0.1495,0.0291,0,0,0,0,10000,0,0,0,0,0,0,118.21200251579285
C7_riasec_investigative,5,25,10000,0.0815,0.0703,0.053900000000000003,4e-4,0.054,0.0604,0.0293,0.0713,0.1333,0.2704,0.0456,0,0,0,0,0,0,0,0,0,0,0,119.86976909637453
C7_riasec_investigative,5,50,10000,0.2479,0.1577,0.0958,5e-4,0.2391,0.1117,0.0948,0.0915,0.3923,0.4259,0.138,0,0,0,0,0,0,0,0,0,0,0,114.41228795051576
C7_riasec_investigative,5,100,10000,0.7627,0.4224,0.2324,0.0262,0.6812,0.2452,0.4608,0.1804,0.786,0.6803,0.3673,0,0,0,0,0,0,0,0,0,0,0,110.15153741836548
C7_riasec_investigative,5,250,10000,0.9999,0.9769,0.7293,0.9382,0.998,0.7743,0.9997,0.8736,0.9983,0.9687,0.9207,0,0,0,0,0,0,0,0,0,0,0,122.26031398773192
C7_riasec_investigative,5,500,10000,1,1,0.9942,1,1,0.9979,1,0.9976,1,0.9998,0.9998,0,0,0,0,0,0,0,0,0,0,0,144.19712448120117
C7_riasec_investigative,5,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,190.9047200679779
C7_riasec_investigative,5,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,236.9285306930542
