escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C8_riasec_social,8,10,10000,0.0654,0.0659,0.0645,0.0092,NA,0.0611,0.0651,0.0808,0.0437,0.1238,0.0579,0,0,0,0,10000,0,0,0,0,0,0,78.13490056991577
C8_riasec_social,8,25,10000,0.1116,0.1188,0.101,0.0123,0.047,0.1149,0.0806,0.0914,0.0515,0.2076,0.0975,0,0,0,0,0,0,0,0,0,0,0,79.76792860031128
C8_riasec_social,8,50,10000,0.2359,0.2398,0.1932,0.0191,0.0799,0.224,0.1558,0.128,0.0949,0.3484,0.2146,0,0,0,0,0,0,0,0,0,0,0,75.38361382484436
C8_riasec_social,8,100,10000,0.5686,0.5148,0.4351,0.0995,0.2705,0.4612,0.414,0.2516,0.1916,0.5933,0.4832,0,0,0,0,0,0,0,0,0,0,0,72.6795825958252
C8_riasec_social,8,250,10000,0.9867,0.9411,0.8836,0.8578,0.9317,0.8958,0.9524,0.6882,0.5026,0.9341,0.9437,0,0,0,0,0,0,0,0,0,0,0,81.35530066490173
C8_riasec_social,8,500,10000,1,0.9999,0.9979,0.9998,0.9999,0.9981,1,0.9964,0.8415,0.9982,0.9996,0,0,0,0,0,0,0,0,0,0,0,99.46419477462769
C8_riasec_social,8,1000,10000,1,1,1,1,1,1,1,1,0.9927,1,1,0,0,0,0,0,0,0,0,0,0,0,137.87167501449585
C8_riasec_social,8,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,178.552179813385
