escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C8_riasec_social,4,10,10000,0.0845,0.0877,0.0844,0.0101,NA,0.0891,0.0857,0.1048,0.0485,0.1318,0.0712,0,0,0,0,10000,0,0,0,0,0,0,72.01729440689087
C8_riasec_social,4,25,10000,0.1599,0.1864,0.1909,0.0159,0.0563,0.1908,0.1216,0.1655,0.053900000000000003,0.2437,0.1357,0,0,0,0,0,0,0,0,0,0,0,73.18346309661865
C8_riasec_social,4,50,10000,0.3306,0.3949,0.4215,0.0232,0.0937,0.3913,0.2414,0.2857,0.1,0.4347,0.3,0,0,0,0,0,0,0,0,0,0,0,70.68887209892273
C8_riasec_social,4,100,10000,0.7054,0.7473,0.8087,0.117,0.285,0.733,0.5739,0.6853,0.1936,0.7211,0.6072,0,0,0,0,0,0,0,0,0,0,0,67.71983551979065
C8_riasec_social,4,250,10000,0.998,0.9966,0.9992,0.8477,0.9235,0.9958,0.9924,0.9393,0.5015,0.9843,0.9779,0,0,0,0,0,0,0,0,0,0,0,75.33022332191467
C8_riasec_social,4,500,10000,1,1,1,0.9998,1,1,1,1,0.8403,0.9998,0.9999,0,0,0,0,0,0,0,0,0,0,0,90.52578973770142
C8_riasec_social,4,1000,10000,1,1,1,1,1,1,1,1,0.9926,1,1,0,0,0,0,0,0,0,0,0,0,0,128.29112029075625
C8_riasec_social,4,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,159.95539450645447
