familia,parametro,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,sstn_na,segundos
chi2,12,250,10000,0.999,0.9885,0.904,0.9955,0.9959,0.9712,0.998,0.7311,0.4947,0.998,0,0,0,0,0,0,0,0,0,0,56.585508584976196
chi2,12,500,10000,1,1,0.998,1,1,0.9999,1,0.9799,0.7332,1,0,0,0,0,0,0,0,0,0,0,69.67365837097168
chi2,15,10,10000,0.0941,0.0912,0.0773,0.0262,NA,0.0847,0.0973,0.0878,0.0689,0.0896,0,0,0,0,10000,0,0,0,0,0,41.84239053726196
chi2,15,25,10000,0.2189,0.1829,0.1303,0.1351,0.1997,0.1649,0.2141,0.1148,0.1154,0.2172,0,0,0,0,0,0,0,0,0,0,45.1335883140564
chi2,15,50,10000,0.4256,0.3421,0.2373,0.3044,0.3569,0.2982,0.4067,0.1431,0.1711,0.4171,0,0,0,0,0,0,0,0,0,0,46.42223572731018
chi2,15,100,10000,0.7411,0.6142,0.4242,0.6053,0.6346,0.544,0.7067,0.2352,0.2481,0.7324,0,0,0,0,0,0,0,0,0,0,48.88823175430298
chi2,15,250,10000,0.9921,0.96,0.8188,0.9809,0.9814,0.9247,0.9877,0.5844,0.4127,0.9908,0,0,0,0,0,0,0,0,0,0,56.541908502578735
chi2,15,500,10000,1,1,0.9886,1,1,0.9992,1,0.921,0.6323,1,0,0,0,0,0,0,0,0,0,0,69.5862078666687
chi2,18,10,10000,0.0838,0.0793,0.0747,0.0218,NA,0.0755,0.0906,0.0843,0.0618,0.0851,0,0,0,0,10000,0,0,0,0,0,41.67438101768494
chi2,18,25,10000,0.1843,0.1566,0.1197,0.1183,0.1774,0.1446,0.1848,0.1024,0.1046,0.1866,0,0,0,0,0,0,0,0,0,0,45.261366844177246
chi2,18,50,10000,0.3648,0.2857,0.2,0.2594,0.3119,0.2531,0.3466,0.118,0.1492,0.3573,0,0,0,0,0,0,0,0,0,0,46.46299767494202
chi2,18,100,10000,0.6531,0.5197,0.3601,0.5209,0.5539,0.4563,0.6199,0.1921,0.2099,0.6455,0,0,0,0,0,0,0,0,0,0,49.013503551483154
chi2,18,250,10000,0.9767,0.9186,0.7509,0.9537,0.9557,0.8724,0.9674,0.4739,0.356,0.9751,0,0,0,0,0,0,0,0,0,0,56.80520749092102
chi2,18,500,10000,0.9999,0.9986,0.9663,0.9998,0.9998,0.9954,0.9998,0.8351,0.5382,0.9998,0,0,0,0,0,0,0,0,0,0,69.65850734710693
