escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
B1_riasec_realistic,6,10,10000,0.1352,0.1276,0.1045,0.0248,NA,0.117,0.1297,0.1342,0.0705,0.1603,0.1181,0,0,0,0,10000,0,0,0,0,0,0,80.80572080612183
B1_riasec_realistic,6,25,10000,0.4133,0.3412,0.229,0.0937,0.1817,0.2918,0.3329,0.2219,0.0807,0.3544,0.326,0,0,0,0,0,0,0,0,0,0,0,83.27831864356995
B1_riasec_realistic,6,50,10000,0.8372,0.6992,0.4892,0.2777,0.3669,0.5973,0.7369,0.418,0.0742,0.6659,0.6787,0,0,0,0,0,0,0,0,0,0,0,79.71856665611267
B1_riasec_realistic,6,100,10000,0.9977,0.975,0.8666,0.8485,0.8932,0.9252,0.9935,0.8332,0.0623,0.9205,0.9697,0,0,0,0,0,0,0,0,0,0,0,77.85098552703857
B1_riasec_realistic,6,250,10000,1,1,1,1,1,1,1,1,0.066,0.9998,1,0,0,0,0,0,0,0,0,0,0,0,86.58026766777039
B1_riasec_realistic,6,500,10000,1,1,1,1,1,1,1,1,0.0791,1,1,0,0,0,0,0,0,0,0,0,0,0,103.85825848579408
B1_riasec_realistic,6,1000,10000,1,1,1,1,1,1,1,1,0.1309,1,1,0,0,0,0,0,0,0,0,0,0,0,141.76480317115784
B1_riasec_realistic,6,1500,10000,1,1,1,1,1,1,1,1,0.1753,1,1,0,0,0,0,0,0,0,0,0,0,0,177.84768557548523
