escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C6_riasec_enterprising,3,10,10000,0.0542,0.0562,0.0574,0.0047,NA,0.0533,0.051,0.088,0.0362,0.1193,0.0353,0,0,0,0,10000,0,0,0,0,0,0,79.71293425559998
C6_riasec_enterprising,3,25,10000,0.0797,0.0786,0.0933,0.003,0.0298,0.0675,0.0413,0.1399,0.0631,0.1558,0.0333,0,0,0,0,0,0,0,0,0,0,0,80.96574234962463
C6_riasec_enterprising,3,50,10000,0.219,0.1575,0.1893,0.0024,0.0636,0.116,0.0981,0.2471,0.1242,0.1781,0.0529,0,0,0,0,0,0,0,0,0,0,0,77.49040579795837
C6_riasec_enterprising,3,100,10000,0.7325,0.466,0.454,0.0062,0.171,0.2741,0.4602,0.4143,0.2585,0.2262,0.0976,0,0,0,0,0,0,0,0,0,0,0,74.7155990600586
C6_riasec_enterprising,3,250,10000,1,1,0.9764,0.3497,0.6954,0.9847,0.9999,1,0.6697,0.4092,0.3933,0,0,0,0,0,0,0,0,0,0,0,82.32870316505432
C6_riasec_enterprising,3,500,10000,1,1,1,0.959,0.9886,1,1,1,0.955,0.6713,0.8575,0,0,0,0,0,0,0,0,0,0,0,98.7196273803711
C6_riasec_enterprising,3,1000,10000,1,1,1,1,1,1,1,1,0.9997,0.918,0.9998,0,0,0,0,0,0,0,0,0,0,0,132.3110158443451
C6_riasec_enterprising,3,1500,10000,1,1,1,1,1,1,1,1,1,0.984,1,0,0,0,0,0,0,0,0,0,0,0,166.1652569770813
