escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C9_rse_total,8,10,10000,0.0423,0.04,0.0447,0.003,NA,0.0414,0.0374,0.0614,0.0328,0.1331,0.0313,0,0,0,0,10000,0,0,0,0,0,0,81.77571439743042
C9_rse_total,8,25,10000,0.0426,0.049,0.05,9e-4,0.0287,0.0489,0.0198,0.0638,0.0759,0.1991,0.0313,0,0,0,0,0,0,0,0,0,0,0,82.80931496620178
C9_rse_total,8,50,10000,0.0787,0.0854,0.0724,3e-4,0.1007,0.0814,0.0287,0.0763,0.1977,0.2632,0.067,0,0,0,0,0,0,0,0,0,0,0,79.02299571037292
C9_rse_total,8,100,10000,0.192,0.1552,0.1348,0.0025,0.3004,0.136,0.0732,0.1136,0.4592,0.3844,0.1417,0,0,0,0,0,0,0,0,0,0,0,76.3966166973114
C9_rse_total,8,250,10000,0.8032,0.4947,0.3967,0.3503,0.8504,0.3836,0.5199,0.3313,0.935,0.7273,0.5135,0,0,0,0,0,0,0,0,0,0,0,85.42368865013123
C9_rse_total,8,500,10000,0.9997,0.9141,0.7977,0.9648,0.9971,0.7908,0.9911,0.932,0.9996,0.9489,0.91,0,0,0,0,0,0,0,0,0,0,0,103.03674864768982
C9_rse_total,8,1000,10000,1,0.9999,0.9959,1,1,0.9964,1,1,1,0.9989,0.9993,0,0,0,0,0,0,0,0,0,0,0,140.25680232048035
C9_rse_total,8,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,174.4350311756134
