escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C9_rse_total,7,10,10000,0.0408,0.0418,0.0434,0.0031,NA,0.0412,0.0376,0.0622,0.0309,0.122,0.0326,0,0,0,0,10000,0,0,0,0,0,0,81.46084570884705
C9_rse_total,7,25,10000,0.0373,0.0441,0.0442,9e-4,0.0251,0.0445,0.018,0.0641,0.0671,0.1748,0.0266,0,0,0,0,0,0,0,0,0,0,0,85.83295226097107
C9_rse_total,7,50,10000,0.073,0.0705,0.0617,2e-4,0.0901,0.0636,0.0253,0.0691,0.1805,0.2247,0.0541,0,0,0,0,0,0,0,0,0,0,0,81.7122392654419
C9_rse_total,7,100,10000,0.2149,0.1247,0.106,0.0014,0.2829,0.0937,0.0711,0.10780000000000001,0.4444,0.3284,0.111,0,0,0,0,0,0,0,0,0,0,0,78.11600065231323
C9_rse_total,7,250,10000,0.9018,0.4456,0.2961,0.3326,0.8393,0.2707,0.6344,0.3186,0.93,0.6371,0.4232,0,0,0,0,0,0,0,0,0,0,0,86.58311414718628
C9_rse_total,7,500,10000,1,0.9215,0.6769,0.9603,0.9971,0.6482,0.9991,0.9763,0.9991,0.8961,0.8554,0,0,0,0,0,0,0,0,0,0,0,105.6179358959198
C9_rse_total,7,1000,10000,1,1,0.9836,1,1,0.9913,1,0.9998,1,0.9964,0.9994,0,0,0,0,0,0,0,0,0,0,0,143.79317903518677
C9_rse_total,7,1500,10000,1,1,1,1,1,1,1,0.9999,1,0.9997,1,0,0,0,0,0,0,0,0,0,0,0,183.54386234283447
