escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C3_mach_total,3,10,10000,0.0501,0.0532,0.058,0.0031,NA,0.051,0.0445,0.0812,0.0346,0.1206,0.0307,0,0,0,0,10000,0,0,0,0,0,0,64.92304682731628
C3_mach_total,3,25,10000,0.0728,0.0669,0.0839,0.0014,0.0306,0.0587,0.0326,0.1188,0.0708,0.1743,0.0291,0,0,0,0,0,0,0,0,0,0,0,63.90938401222229
C3_mach_total,3,50,10000,0.2039,0.1362,0.1578,0.0013,0.0958,0.0982,0.0809,0.2231,0.1813,0.2211,0.0636,0,0,0,0,0,0,0,0,0,0,0,60.85308218002319
C3_mach_total,3,100,10000,0.7299,0.4188,0.3975,0.0056,0.3081,0.2265,0.4186,0.3473,0.4372,0.3357,0.1313,0,0,0,0,0,0,0,0,0,0,0,59.01497793197632
C3_mach_total,3,250,10000,1,0.9997,0.957,0.5637,0.8969,0.9618,0.9997,1,0.9137,0.6549,0.5568,0,0,0,0,0,0,0,0,0,0,0,65.7773768901825
C3_mach_total,3,500,10000,1,1,1,0.9957,0.9995,1,1,1,0.9983,0.906,0.9558,0,0,0,0,0,0,0,0,0,0,0,79.69293928146362
C3_mach_total,3,1000,10000,1,1,1,1,1,1,1,1,1,0.9957,1,0,0,0,0,0,0,0,0,0,0,0,109.12521266937256
C3_mach_total,3,1500,10000,1,1,1,1,1,1,1,1,1,0.9999,1,0,0,0,0,0,0,0,0,0,0,0,138.58294320106506
