escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C7_riasec_investigative,6,10,10000,0.0516,0.0512,0.0515,0.0031,NA,0.0508,0.0413,0.0735,0.0376,0.1658,0.0359,0,0,0,0,10000,0,0,0,0,0,0,80.72028470039368
C7_riasec_investigative,6,25,10000,0.0923,0.0955,0.0779,0.0011,0.0687,0.0888,0.042,0.0892,0.152,0.3453,0.0673,0,0,0,0,0,0,0,0,0,0,0,81.70956063270569
C7_riasec_investigative,6,50,10000,0.2287,0.2207,0.1662,7e-4,0.2743,0.1931,0.1031,0.1314,0.4162,0.5128,0.2031,0,0,0,0,0,0,0,0,0,0,0,77.51652574539185
C7_riasec_investigative,6,100,10000,0.5949,0.5047,0.3788,0.0388,0.6892,0.4249,0.365,0.2869,0.7883,0.7747,0.4985,0,0,0,0,0,0,0,0,0,0,0,75.10429000854492
C7_riasec_investigative,6,250,10000,0.9974,0.9671,0.8923,0.9359,0.9975,0.9126,0.9776,0.8506,0.9983,0.9916,0.9681,0,0,0,0,0,0,0,0,0,0,0,83.11525774002075
C7_riasec_investigative,6,500,10000,1,0.9999,0.999,1,1,0.9995,1,0.9994,1,0.9999,0.9999,0,0,0,0,0,0,0,0,0,0,0,99.41504192352296
C7_riasec_investigative,6,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,134.0476417541504
C7_riasec_investigative,6,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,170.00031685829163
