escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C3_mach_total,4,10,10000,0.0469,0.0476,0.0502,0.0035,NA,0.0471,0.0423,0.0708,0.0333,0.1186,0.0343,0,0,0,0,10000,0,0,0,0,0,0,85.29600238800049
C3_mach_total,4,25,10000,0.0565,0.0628,0.0703,0.0026,0.0302,0.0627,0.0293,0.0859,0.0675,0.1943,0.0371,0,0,0,0,0,0,0,0,0,0,0,86.32869076728821
C3_mach_total,4,50,10000,0.1223,0.1162,0.1365,0.0019,0.0951,0.1071,0.0522,0.1158,0.1791,0.2749,0.0842,0,0,0,0,0,0,0,0,0,0,0,79.94034194946289
C3_mach_total,4,100,10000,0.3913,0.2699,0.3185,0.0066,0.3102,0.2175,0.1764,0.3669,0.4345,0.4329,0.196,0,0,0,0,0,0,0,0,0,0,0,77.424067735672
C3_mach_total,4,250,10000,0.992,0.843,0.811,0.561,0.9052,0.6776,0.9209,0.6981,0.9139,0.7883,0.6549,0,0,0,0,0,0,0,0,0,0,0,87.1740734577179
C3_mach_total,4,500,10000,1,1,0.9978,0.9956,0.9995,0.997,1,1,0.9984,0.9746,0.9785,0,0,0,0,0,0,0,0,0,0,0,103.97289848327635
C3_mach_total,4,1000,10000,1,1,1,1,1,1,1,1,1,0.9998,1,0,0,0,0,0,0,0,0,0,0,0,141.1470537185669
C3_mach_total,4,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,181.0184588432312
