subescala,instrumento,N,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
riasec_artistic.csv,riasec,142869,80,10000,0.5542,0.3679,0.2774,0.0027,0.5832,0.2747,0.2753,0.2241,0.7318,0.6532,0.3265,0,0,0,0,0,0,0,0,0,0,0,76.63173055648804
riasec_artistic.csv,riasec,142869,160,10000,0.9781,0.8178,0.6425,0.4224,0.9489,0.6381,0.8771,0.6823,0.9785,0.9064,0.7483,0,0,0,0,0,0,0,0,0,0,0,79.13619923591614
riasec_artistic.csv,riasec,142869,400,10000,1,0.9999,0.9957,1,1,0.9972,1,0.9405,1,0.9997,0.9987,0,0,0,0,0,0,0,0,0,0,0,94.35580539703368
riasec_artistic.csv,riasec,142869,800,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,118.8607108592987
riasec_conventional.csv,riasec,143964,10,10000,0.0947,0.0847,0.0715,0.0073,NA,0.0774,0.0781,0.1068,0.0521,0.1785,0.0608,0,0,0,0,10000,0,0,0,0,0,0,95.9570586681366
riasec_conventional.csv,riasec,143964,20,10000,0.1874,0.1464,0.1042,0.0155,0.0707,0.1227,0.1181,0.1041,0.0931,0.3009,0.1071,0,0,0,0,0,0,0,0,0,0,0,99.71468901634216
riasec_conventional.csv,riasec,143964,30,10000,0.3444,0.2424,0.1605,0.0231,0.1139,0.1854,0.2169,0.1484,0.1356,0.3908,0.1635,0,0,0,0,0,0,0,0,0,0,0,98.058744430542
riasec_conventional.csv,riasec,143964,80,10000,0.9408,0.7629,0.5491,0.1399,0.4156,0.5757,0.8433,0.5479,0.2735,0.71,0.5694,0,0,0,0,0,0,0,0,0,0,0,90.98734307289124
riasec_conventional.csv,riasec,143964,160,10000,1,0.9956,0.9486,0.843,0.9444,0.9422,0.9997,0.9725,0.4703,0.9367,0.9385,0,0,0,0,0,0,0,0,0,0,0,93.33106923103333
riasec_conventional.csv,riasec,143964,400,10000,1,1,1,1,1,1,1,1,0.8523,0.9997,1,0,0,0,0,0,0,0,0,0,0,0,108.30302143096924
riasec_conventional.csv,riasec,143964,800,10000,1,1,1,1,1,1,1,1,0.9917,1,1,0,0,0,0,0,0,0,0,0,0,0,135.59670686721802
riasec_enterprising.csv,riasec,143206,10,10000,0.0514,0.0543,0.053,0.0043,NA,0.0532,0.0481,0.0728,0.038,0.1326,0.0381,0,0,0,0,10000,0,0,0,0,0,0,79.93043923377991
riasec_enterprising.csv,riasec,143206,20,10000,0.0547,0.0541,0.0578,0.0065,0.0407,0.0532,0.0345,0.0614,0.0632,0.1847,0.0382,0,0,0,0,0,0,0,0,0,0,0,82.30304765701294
riasec_enterprising.csv,riasec,143206,30,10000,0.0731,0.0669,0.0761,0.0062,0.0509,0.0647,0.0362,0.0737,0.0951,0.198,0.0416,0,0,0,0,0,0,0,0,0,0,0,81.3007743358612
riasec_enterprising.csv,riasec,143206,80,10000,0.3046,0.174,0.189,0.0071,0.1577,0.1264,0.1323,0.233,0.2486,0.281,0.1027,0,0,0,0,0,0,0,0,0,0,0,75.10175395011902
riasec_enterprising.csv,riasec,143206,160,10000,0.8529,0.49370000000000003,0.4685,0.077,0.4145,0.3095,0.623,0.6017,0.4712,0.4393,0.2692,0,0,0,0,0,0,0,0,0,0,0,76.58132982254028
riasec_enterprising.csv,riasec,143206,400,10000,1,0.9986,0.9711,0.8708,0.9601,0.94,1,0.9991,0.88,0.8009,0.8142,0,0,0,0,0,0,0,0,0,0,0,90.03359580039978
