escenario,k,skew_objetivo,kurt_exc_objetivo,skew_logrado,kurt_exc_logrado,dist2,umbral_1,umbral_2,umbral_3,umbral_4,umbral_5,umbral_6,umbral_7
A_simetrica,7,0,NA,0.00239469378073889,-1.0195234877046575,NA,-1.0675705238781417,-0.5659488219328631,-0.1800123697927051,0.1800123697927049,0.5659488219328631,1.0675705238781414,NA
A_simetrica,8,0,NA,0.00166966297102389,-1.0021293854930522,NA,-1.150349380376008,-0.6744897501960817,-0.31863936396437514,0,0.31863936396437514,0.6744897501960817,1.150349380376008
B1_riasec_realistic,7,0.7219599391322785,-0.1462681892475115,0.7219598740622953,-0.1462682254271237,5.5430670495582435e-15,-0.6622197960635562,-0.096966225818502,0.6734370433725626,0.8465994548872559,1.2014677388936108,1.7123274140225455,NA
B1_riasec_realistic,8,0.7219599391322785,-0.1462681892475115,0.721959978939341,-0.14626840919874917,4.9963149179236654e-14,-0.9979201736373108,0.06214269818869711,0.23264976552162583,0.6142551823346013,1.160934886434727,1.449990443450082,1.8143787734964008
B2_dass_depression,7,0.03854385892173417,-1.1549269962118778,0.03854395881061939,-1.154926967978059,1.0774937916462906e-14,-1.3968485839946283,-0.3210656557316698,0.0716796920122531,0.1579397064087773,0.3505171002342877,1.813638294934336,NA
B2_dass_depression,8,0.03854385892173417,-1.1549269962118778,0.03854401766223554,-1.1549269827238866,2.5380472682735254e-14,-0.9862765023536226,-0.2983317143344749,-0.10194267408200676,0.00481759457908081,0.19359408239064857,0.6791924321389349,1.5909503479374785
C1_dass_anxiety,3,0.4415273730997896,-0.6369665500857513,0.4415269058714267,-0.6369656153686685,1.0919983681022853e-12,-0.20739567120459207,1.152110604959152,NA,NA,NA,NA,NA
C1_dass_anxiety,4,0.4415273730997896,-0.6369665500857513,0.4415284369939186,-0.6369662552629074,1.2187912269321521e-12,-0.8139582101036995,0.5232011950086266,0.8752004757090874,NA,NA,NA,NA
C1_dass_anxiety,5,0.4415273730997896,-0.6369665500857513,0.4415273771177622,-0.6369666636910121,1.2922299374571947e-14,-0.8652943440496714,0.15198743997803432,0.6636130876213913,1.2722044766569225,NA,NA,NA
C1_dass_anxiety,6,0.4415273730997896,-0.6369665500857513,0.441527250838921,-0.6369663190025263,6.834717686603668e-14,-0.7014804512207551,-0.04045541477614201,0.3452967260943083,1.1348375377271724,1.3306169345943508,NA,NA
C1_dass_anxiety,7,0.4415273730997896,-0.6369665500857513,0.44152716888740257,-0.6369667139251036,6.854603239161557e-14,-0.8261205797430125,-0.35154837504883224,0.2385853943062366,0.699084832111676,0.9723814390211944,1.312180774764572,NA
C1_dass_anxiety,8,0.4415273730997896,-0.6369665500857513,0.4415272898923507,-0.6369666879924285,2.5941729508076152e-14,-0.7105547401488834,-0.5340911883009591,0.11751078799392678,0.5281005053551693,0.7061286528655464,1.1730565193356133,1.4226615981983417
C2_dass_stress,3,0.03029610995712196,-0.8806416112961943,0.03029631638524704,-0.8806420467208955,2.322072412250419e-13,-0.6394476909221867,0.70371753124772,NA,NA,NA,NA,NA
C2_dass_stress,4,0.03029610995712196,-0.8806416112961943,0.03029660098737652,-0.8806437963902654,5.01574681009315e-12,-0.6478059953335131,0.09154210901313398,1.3943680445066533,NA,NA,NA,NA
C2_dass_stress,5,0.03029610995712196,-0.8806416112961943,0.03029616291471188,-0.8806409909873283,3.8758759563192363e-13,-1.10765989268438,-0.3915111258174787,0.4138586373172286,0.863343681157744,NA,NA,NA
C2_dass_stress,6,0.03029610995712196,-0.8806416112961943,0.0302963039829264,-0.8806411410927981,2.587372466072777e-13,-1.034593343010939,-0.489122898332077,0.04878637820685383,0.604110015824346,1.260289749854287,NA,NA
C2_dass_stress,7,0.03029610995712196,-0.8806416112961943,0.03029610277275976,-0.8806415745838732,1.3994095867545417e-15,-1.3768252422559422,-0.59098770081276,-0.22791931276613295,0.2553842226701253,0.688076437943042,1.387122700262581,NA
C2_dass_stress,8,0.03029610995712196,-0.8806416112961943,0.03029588518054237,-0.8806416035263487,5.058488123319345e-14,-1.4273875048790392,-0.6539941357688284,-0.4655336923572875,0.09276249643765944,0.3615875919939142,0.8171012354332821,1.3986331319620815
C3_mach_total,3,-0.16381816636613167,-0.6864417125666629,-0.16381838202730048,-0.6864405642639504,1.365108859205221e-12,-0.974668872991183,0.5271829209217906,NA,NA,NA,NA,NA
C3_mach_total,4,-0.16381816636613167,-0.6864417125666629,-0.1638166603284467,-0.6864422877881586,2.5990292777698644e-12,-1.1083627712797743,-0.18112125316868932,0.97932463788269,NA,NA,NA,NA
C3_mach_total,5,-0.16381816636613167,-0.6864417125666629,-0.16381783133465494,-0.6864411792512262,3.966714454227597e-13,-1.3158674451131154,-0.6324551297909816,0.22142315533742685,0.9689656270438952,NA,NA,NA
C3_mach_total,6,-0.16381816636613167,-0.6864417125666629,-0.1638180408514563,-0.6864415486406426,4.262567387038894e-14,-1.433649143597432,-0.9837076609393524,-0.22875684436130284,0.4432712420042966,0.8700844182326972,NA,NA
C3_mach_total,7,-0.16381816636613167,-0.6864417125666629,-0.1638184764802712,-0.6864416763098111,9.748533883756115e-14,-1.2595110879752864,-0.9176176234963228,-0.5025673679394689,0.15945518490812516,0.657096363351771,1.1858555130857664,NA
C3_mach_total,8,-0.16381816636613167,-0.6864417125666629,-0.16381839096597808,-0.6864417192301051,5.0489492472452536e-14,-1.6169261133144972,-1.126330042653573,-0.6234202618360669,-0.3853556937582208,0.33468740159935906,0.678903364082418,1.025105167559022
C4_riasec_artistic,3,-0.047090218942042,-0.8940395397035896,-0.04709248553664484,-0.8940414083001635,8.629104249678904e-12,-0.7177083899398049,0.6126105144952214,NA,NA,NA,NA,NA
C4_riasec_artistic,4,-0.047090218942042,-0.8940395397035896,-0.0470910798658739,-0.8940386764606343,1.4863782442746885e-12,-1.1013072579817993,-0.05602471036906875,0.747818442788017,NA,NA,NA,NA
C4_riasec_artistic,5,-0.047090218942042,-0.8940395397035896,-0.0470893829429946,-0.8940395632730618,6.994499272678865e-13,-0.6251655824188865,-0.4269313303031302,0.4956494502867085,1.495779497137665,NA,NA,NA
C4_riasec_artistic,6,-0.047090218942042,-0.8940395397035896,-0.04709030204035428,-0.8940395059564707,8.044197536272261e-15,-1.134688920716166,-0.582971289916671,-0.04470536844459572,0.4914868555759426,1.0952281993513395,NA,NA
C4_riasec_artistic,7,-0.047090218942042,-0.8940395397035896,-0.04708979382653939,-0.8940392500524474,2.6462097472925677e-13,-0.940441683987818,-0.589414584354442,-0.21783356117265207,0.05450801545889583,1.0309568622604033,1.114915138021816,NA
C4_riasec_artistic,8,-0.047090218942042,-0.8940395397035896,-0.04708997570667118,-0.8940398272044163,1.4182017097035238e-13,-1.2877204100668558,-0.9689892986345616,-0.24196014867589088,-0.09698746380202385,0.4091207170562192,0.647093021124687,1.545321155696313
C5_riasec_conventional,3,0.4529900388455775,-0.5557585561557556,0.45299037262415953,-0.5557565459616773,4.152288374291471e-12,-0.1886057416427876,1.2561142025767325,NA,NA,NA,NA,NA
C5_riasec_conventional,4,0.4529900388455775,-0.5557585561557556,0.4529891335369983,-0.5557584548823362,8.298399289792694e-13,-0.6842030143624019,0.5023254745074094,1.117401404383116,NA,NA,NA,NA
C5_riasec_conventional,5,0.4529900388455775,-0.5557585561557556,0.45298952297242406,-0.5557589500890048,4.2130851518831553e-13,-0.8309711314543755,0.09852896046078684,0.7911573739028941,1.2666128133432693,NA,NA,NA
C5_riasec_conventional,6,0.4529900388455775,-0.5557585561557556,0.4529906930587698,-0.5557583406115465,4.744542071308043e-13,-0.8473568351678882,-0.20590776589817897,0.5684547580534285,0.8815691606856495,1.3661583698810356,NA,NA
C5_riasec_conventional,7,0.4529900388455775,-0.5557585561557556,0.4529896132613812,-0.5557587348939785,2.1306926043889934e-13,-0.458255504123508,-0.19515179563776347,0.19727622772508807,0.979042909770929,1.354782346575943,1.8205443803474448,NA
C5_riasec_conventional,8,0.4529900388455775,-0.5557585561557556,0.45298995679138,-0.5557584614651954,1.569919352343225e-14,-0.6416310156373006,-0.2563890292917814,0.06827434818826372,0.5140656623431497,1.0596205513136407,1.4613932376120309,1.7632069401826107
C6_riasec_enterprising,3,0.19767594643208225,-0.5594885352757526,0.1976756792911199,-0.5594897162895682,1.4661579264797166e-12,-0.4840526748243965,1.1208237304075803,NA,NA,NA,NA,NA
C6_riasec_enterprising,4,0.19767594643208225,-0.5594885352757526,0.1976745035335337,-0.5594884343523403,2.09214175658353e-12,-0.9925697843214736,0.2361222880878654,1.2544612092497318,NA,NA,NA,NA
C6_riasec_enterprising,5,0.19767594643208225,-0.5594885352757526,0.1976753179957706,-0.559488638488213,4.055850097805552e-13,-0.7862929889425364,-0.3096293839773308,0.8924634623990376,1.2428471360356736,NA,NA,NA
C6_riasec_enterprising,6,0.19767594643208225,-0.5594885352757526,0.19767672127842173,-0.5594883496043153,6.348607324474685e-13,-1.2705259172558163,-0.01021542690413612,0.09426598281366184,1.5808238229049365,1.851107211481477,NA,NA
C6_riasec_enterprising,7,0.19767594643208225,-0.5594885352757526,0.19767584171604055,-0.559488052640519,2.4390221805321733e-13,-1.2735821225453434,-0.9474647352504664,-0.11553207140580968,0.6403457735221991,0.7209954493822281,1.3264346344561555,NA
C6_riasec_enterprising,8,0.19767594643208225,-0.5594885352757526,0.19767564505793456,-0.559488594393351,9.432126733507113e-14,-1.0798071854992686,-0.9422736663135428,-0.02279862556410084,0.12073243790539843,0.8091402740017763,1.287266864005351,1.624262789433219
C7_riasec_investigative,3,-0.12099272165977806,-0.8751478746332522,-0.12099197366142822,-0.8751496481520036,3.7048702929822565e-12,-0.7997835696072149,0.5345398344957772,NA,NA,NA,NA,NA
C7_riasec_investigative,4,-0.12099272165977806,-0.8751478746332522,-0.12099278769118796,-0.8751471711524759,4.992453497142518e-13,-1.0616344713845305,-0.13496925490291867,0.7652957041333268,NA,NA,NA,NA
C7_riasec_investigative,5,-0.12099272165977806,-0.8751478746332522,-0.12099282766914742,-0.8751478987032129,1.1817349398137264e-14,-0.8944092379571029,-0.6622396409995575,0.3802556285318488,0.7407028239441891,NA,NA,NA
C7_riasec_investigative,6,-0.12099272165977806,-0.8751478746332522,-0.1209932458422762,-0.8751481920844988,3.755425853423441e-13,-1.1928915518258625,-0.4030038947869165,-0.13046373509927212,0.6027376087760699,1.6730887903796543,NA,NA
C7_riasec_investigative,7,-0.12099272165977806,-0.8751478746332522,-0.1209924705721838,-0.8751478727228013,6.304862981292372e-14,-1.6534448156057897,-0.8930332486211218,-0.40031598823213255,0.04250304518095449,0.4600914562491425,1.0141422037942651,NA
C7_riasec_investigative,8,-0.12099272165977806,-0.8751478746332522,-0.12099292670923596,-0.8751477745411385,5.2063711405698146e-14,-1.3621891572901417,-0.8639362368599304,-0.5128837940382197,-0.1507143729289948,0.27151598146324263,0.6529113184176989,1.139939216477706
C8_riasec_social,3,-0.3615503576569456,-0.5040968813091977,-0.3615489257771102,-0.504096452126499,2.2344776519657812e-12,-1.3637828826202494,0.2489469818623904,NA,NA,NA,NA,NA
C8_riasec_social,4,-0.3615503576569456,-0.5040968813091977,-0.36154938468211545,-0.5040960025704919,1.718861733175779e-12,-1.0006236338625425,-0.2777793394571654,1.2825518279443526,NA,NA,NA,NA
C8_riasec_social,5,-0.3615503576569456,-0.5040968813091977,-0.3615503363210337,-0.5040962938994342,3.4550545138724314e-13,-1.3981579020868975,-0.873321193725969,0.02148816728340485,0.8427939180021828,NA,NA,NA
C8_riasec_social,6,-0.3615503576569456,-0.5040968813091977,-0.3615501655721411,-0.5040977308109804,7.585498509259622e-13,-1.2657475753138416,-0.911243690567259,-0.15973979609974487,0.5587832843056664,1.8376042401665191,NA,NA
C8_riasec_social,7,-0.3615503576569456,-0.5040968813091977,-0.3615503438479742,-0.5040966969740399,3.417013809426438e-14,-1.390606355207128,-0.966014448315949,-0.4847111969409872,-0.3675720632695634,0.8523675681756411,0.9779927918533484,NA
C8_riasec_social,8,-0.3615503576569456,-0.5040968813091977,-0.3615501880246833,-0.5040973085182983,2.112827199943953e-13,-1.096726033376214,-0.9658008629620154,-0.954633329115139,-0.15081826724531533,0.15364278976794243,1.0007333891113743,1.53305639954233
C9_rse_total,3,-0.00317609978265582,-0.692685899286801,-0.0031753619914521,-0.6926883852762908,6.72447960378168e-12,-0.7655819387449915,0.7492554730577795,NA,NA,NA,NA,NA
C9_rse_total,4,-0.00317609978265582,-0.692685899286801,-0.00317660523056801,-0.6926895032891096,1.3244310232248587e-11,-1.2156072231490105,-0.04656795503160071,0.967599120419646,NA,NA,NA,NA
C9_rse_total,5,-0.00317609978265582,-0.692685899286801,-0.00317501318845356,-0.692685651085581,1.2422908059886628e-12,-1.1288817903594657,-0.49213725371339057,0.46523116250888297,1.0693203735838797,NA,NA,NA
C9_rse_total,6,-0.00317609978265582,-0.692685899286801,-0.00317634228091154,-0.6926860320881869,7.64416121230496e-14,-1.2331442046531116,-0.8270967451732504,0.2737879002768193,0.4120162109030352,1.4576938065857394,NA,NA
C9_rse_total,7,-0.00317609978265582,-0.692685899286801,-0.00317579318629679,-0.6926861356925875,1.4988902326070998e-13,-1.0340954924727472,-0.8250635115586562,-0.22397210895413067,0.3658149319304491,0.9262737425113824,1.4650339142856068,NA
C9_rse_total,8,-0.00317609978265582,-0.692685899286801,-0.00317577869123225,-0.6926865124302868,4.790446364212776e-13,-1.484881210733464,-0.7578369777525058,-0.5026017899725312,0.11172504121367877,0.35042521517483305,1.3462288658464958,1.3870165366474567
