escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C4_riasec_artistic,6,10,10000,0.0436,0.0433,0.043,0.0021,NA,0.0421,0.0332,0.0642,0.0338,0.1542,0.0281,0,0,0,0,10000,0,0,0,0,0,0,76.05331325531006
C4_riasec_artistic,6,25,10000,0.0706,0.0686,0.0564,5e-4,0.063,0.061,0.0244,0.0747,0.1434,0.3022,0.0433,0,0,0,0,0,0,0,0,0,0,0,77.64333176612854
C4_riasec_artistic,6,50,10000,0.1953,0.1482,0.0992,3e-4,0.2635,0.1204,0.0741,0.0954,0.4225,0.4568,0.1447,0,0,0,0,0,0,0,0,0,0,0,73.53924369812012
C4_riasec_artistic,6,100,10000,0.6126,0.3772,0.2241,0.0212,0.7059,0.264,0.3207,0.1774,0.8268,0.7092,0.3881,0,0,0,0,0,0,0,0,0,0,0,71.73641896247864
C4_riasec_artistic,6,250,10000,0.9998,0.9367,0.6968,0.9303,0.9983,0.7677,0.9909,0.6592,0.9994,0.9782,0.9309,0,0,0,0,0,0,0,0,0,0,0,80.01835250854492
C4_riasec_artistic,6,500,10000,1,0.9999,0.9879,1,1,0.9952,1,0.9971,1,1,0.9998,0,0,0,0,0,0,0,0,0,0,0,98.00748038291933
C4_riasec_artistic,6,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,134.27904653549194
C4_riasec_artistic,6,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,172.06072115898132
