escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
A_simetrica,6,10,10000,0.0557,0.0544,0.0478,0.0021,NA,0.0505,0.0369,0.0676,0.0446,0.1922,0.0321,0,0,0,0,10000,0,0,0,0,0,0,71.65550804138184
A_simetrica,6,25,10000,0.1326,0.1122,0.0728,3e-4,0.123,0.095,0.0446,0.085,0.2512,0.4334,0.0807,0,0,0,0,0,0,0,0,0,0,0,72.69391298294067
A_simetrica,6,50,10000,0.41,0.289,0.1513,1e-4,0.507,0.2176,0.1818,0.1277,0.6732,0.6847,0.2985,0,0,0,0,0,0,0,0,0,0,0,69.00936722755432
A_simetrica,6,100,10000,0.9083,0.689,0.3731,0.1355,0.9316,0.5123,0.7021,0.2487,0.9718,0.9158,0.7058,0,0,0,0,0,0,0,0,0,0,0,68.236900806427
A_simetrica,6,250,10000,1,0.9987,0.9201,0.9981,1,0.9745,1,0.823,1,0.9996,0.9978,0,0,0,0,0,0,0,0,0,0,0,73.67729067802429
A_simetrica,6,500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,92.15669846534728
A_simetrica,6,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,123.10303926467894
A_simetrica,6,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,152.67628479003906
