escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
B1_riasec_realistic,5,10,10000,0.2305,0.2045,0.1486,0.0248,NA,0.1823,0.1891,0.2347,0.0943,0.2772,0.1405,0,0,0,0,10000,0,0,0,0,0,0,80.30858612060547
B1_riasec_realistic,5,25,10000,0.6748,0.5538,0.3413,0.1033,0.2496,0.4641,0.5462,0.5078,0.1848,0.5641,0.4074,0,0,0,0,0,0,0,0,0,0,0,82.30692219734192
B1_riasec_realistic,5,50,10000,0.9779,0.9109,0.7456,0.2881,0.5044,0.8179,0.9422,0.8437,0.2211,0.7739,0.7648,0,0,0,0,0,0,0,0,0,0,0,77.82091951370239
B1_riasec_realistic,5,100,10000,1,0.9994,0.9912,0.8732,0.9355,0.992,0.9999,0.9971,0.2127,0.954,0.983,0,0,0,0,0,0,0,0,0,0,0,75.38135123252869
B1_riasec_realistic,5,250,10000,1,1,1,1,1,1,1,1,0.1909,0.9999,1,0,0,0,0,0,0,0,0,0,0,0,83.48521256446838
B1_riasec_realistic,5,500,10000,1,1,1,1,1,1,1,1,0.2025,1,1,0,0,0,0,0,0,0,0,0,0,0,103.68682193756104
B1_riasec_realistic,5,1000,10000,1,1,1,1,1,1,1,1,0.2324,1,1,0,0,0,0,0,0,0,0,0,0,0,138.63740372657776
B1_riasec_realistic,5,1500,10000,1,1,1,1,1,1,1,1,0.2674,1,1,0,0,0,0,0,0,0,0,0,0,0,175.17077803611755
