escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C9_rse_total,4,10,10000,0.0447,0.0436,0.0493,0.0031,NA,0.0434,0.0379,0.0684,0.0308,0.1211,0.031,0,0,0,0,10000,0,0,0,0,0,0,81.484854221344
C9_rse_total,4,25,10000,0.0452,0.053900000000000003,0.0635,0.0011,0.028,0.053900000000000003,0.0218,0.078,0.0705,0.1886,0.0286,0,0,0,0,0,0,0,0,0,0,0,85.31288623809814
C9_rse_total,4,50,10000,0.0874,0.0854,0.1111,3e-4,0.0931,0.0795,0.0309,0.1116,0.1796,0.2375,0.0595,0,0,0,0,0,0,0,0,0,0,0,84.41476964950562
C9_rse_total,4,100,10000,0.258,0.1805,0.2424,0.0019,0.2866,0.1439,0.0918,0.3388,0.4477,0.3474,0.1182,0,0,0,0,0,0,0,0,0,0,0,80.88763785362244
C9_rse_total,4,250,10000,0.9607,0.6969,0.7,0.343,0.8427,0.5175,0.7769,0.6652,0.9304,0.6652,0.4571,0,0,0,0,0,0,0,0,0,0,0,87.30887985229492
C9_rse_total,4,500,10000,1,0.9998,0.9857,0.9635,0.9971,0.984,1,1,0.9991,0.9154,0.8733,0,0,0,0,0,0,0,0,0,0,0,104.1629045009613
C9_rse_total,4,1000,10000,1,1,1,1,1,1,1,1,1,0.9972,0.9993,0,0,0,0,0,0,0,0,0,0,0,138.70090007781982
C9_rse_total,4,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,170.9242286682129
