escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C4_riasec_artistic,3,10,10000,0.0453,0.0461,0.0505,0.002,NA,0.0455,0.0369,0.0709,0.0312,0.1449,0.024,0,0,0,0,10000,0,0,0,0,0,0,61.04372143745423
C4_riasec_artistic,3,25,10000,0.087,0.0734,0.0734,3e-4,0.0558,0.0619,0.0308,0.1023,0.1373,0.2682,0.0396,0,0,0,0,0,0,0,0,0,0,0,61.757426738739014
C4_riasec_artistic,3,50,10000,0.2903,0.1811,0.1568,3e-4,0.255,0.1255,0.1082,0.215,0.4163,0.4161,0.1237,0,0,0,0,0,0,0,0,0,0,0,59.657517433166504
C4_riasec_artistic,3,100,10000,0.8485,0.5352,0.411,0.0201,0.6986,0.314,0.5488,0.3833,0.8243,0.6552,0.3339,0,0,0,0,0,0,0,0,0,0,0,57.520458459854126
C4_riasec_artistic,3,250,10000,1,1,0.962,0.9241,0.9979,0.9797,0.9999,0.9995,0.9994,0.9612,0.8963,0,0,0,0,0,0,0,0,0,0,0,64.925140380859375
C4_riasec_artistic,3,500,10000,1,1,1,1,1,1,1,1,1,0.9995,0.9999,0,0,0,0,0,0,0,0,0,0,0,78.05299043655396
C4_riasec_artistic,3,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,105.10376477241516
C4_riasec_artistic,3,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,133.94594168663025
