familia,parametro,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
convolucion_uniforme_normal,0.6,100,10000,0.6753,0.6107,0.3395,0.0733,0.844,0.5256,0.4604,0.2648,0.9166,0.8854,0.6469,0,0,0,0,0,0,0,0,0,0,0,70.18539905548096
convolucion_uniforme_normal,0.6,250,10000,0.9945,0.9844,0.8224,0.9769,0.9992,0.958,0.9799,0.7158,0.9998,0.9983,0.9923,0,0,0,0,0,0,0,0,0,0,0,79.3027331829071
convolucion_uniforme_normal,0.6,500,10000,1,1,0.9947,1,1,0.9997,1,0.9805,1,1,1,0,0,0,0,0,0,0,0,0,0,0,95.08305716514587
convolucion_uniforme_normal,0.8,10,10000,0.0491,0.0485,0.0493,0.0028,NA,0.0486,0.0378,0.0687,0.0394,0.165,0.0314,0,0,0,0,10000,0,0,0,0,0,0,74.13191795349121
convolucion_uniforme_normal,0.8,25,10000,0.0775,0.0829,0.0639,0.0011,0.0686,0.0814,0.0326,0.0755,0.1457,0.3297,0.0581,0,0,0,0,0,0,0,0,0,0,0,78.19368743896484
convolucion_uniforme_normal,0.8,50,10000,0.1669,0.1757,0.1144,3e-4,0.2461,0.1622,0.0726,0.1028,0.3904,0.4766,0.1628,0,0,0,0,0,0,0,0,0,0,0,74.89120578765869
convolucion_uniforme_normal,0.8,100,10000,0.3999,0.3834,0.2229,0.0173,0.5903,0.3358,0.2217,0.1676,0.7244,0.6972,0.398,0,0,0,0,0,0,0,0,0,0,0,69.67735862731934
convolucion_uniforme_normal,0.8,250,10000,0.9086,0.872,0.6051,0.7675,0.9727,0.8122,0.8071,0.4597,0.9887,0.9681,0.9063,0,0,0,0,0,0,0,0,0,0,0,77.85730719566345
convolucion_uniforme_normal,0.8,500,10000,0.9989,0.9971,0.9343,0.9981,0.9999,0.9926,0.9962,0.8298,1,1,0.999,0,0,0,0,0,0,0,0,0,0,0,93.85078048706055
convolucion_uniforme_normal,1,10,10000,0.0449,0.0444,0.0471,0.0045,NA,0.0458,0.0376,0.069,0.0331,0.147,0.0341,0,0,0,0,10000,0,0,0,0,0,0,73.75206875801086
convolucion_uniforme_normal,1,25,10000,0.0609,0.0656,0.0587,0.0028,0.052,0.0652,0.0298,0.0733,0.1049,0.2548,0.0455,0,0,0,0,0,0,0,0,0,0,0,75.36183977127075
