escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
B1_riasec_realistic,3,10,10000,0.2546,0.231,0.1678,0.0252,NA,0.2061,0.2086,0.2708,0.094,0.2648,0.1433,0,0,0,0,10000,0,0,0,0,0,0,78.73352122306824
B1_riasec_realistic,3,25,10000,0.7386,0.6273,0.4654,0.1044,0.2509,0.5324,0.6186,0.5844,0.1881,0.5736,0.4216,0,0,0,0,0,0,0,0,0,0,0,80.9775938987732
B1_riasec_realistic,3,50,10000,0.9914,0.9599,0.8746,0.2952,0.5101,0.8921,0.9725,0.8985,0.2157,0.7948,0.7808,0,0,0,0,0,0,0,0,0,0,0,77.4258165359497
B1_riasec_realistic,3,100,10000,1,1,0.999,0.887,0.9448,0.9993,1,0.9992,0.2059,0.962,0.9851,0,0,0,0,0,0,0,0,0,0,0,75.2275037765503
B1_riasec_realistic,3,250,10000,1,1,1,1,1,1,1,1,0.1877,0.9999,1,0,0,0,0,0,0,0,0,0,0,0,83.31462025642395
B1_riasec_realistic,3,500,10000,1,1,1,1,1,1,1,1,0.2046,1,1,0,0,0,0,0,0,0,0,0,0,0,100.8840630054474
B1_riasec_realistic,3,1000,10000,1,1,1,1,1,1,1,1,0.2466,1,1,0,0,0,0,0,0,0,0,0,0,0,134.6110589504242
B1_riasec_realistic,3,1500,10000,1,1,1,1,1,1,1,1,0.2814,1,1,0,0,0,0,0,0,0,0,0,0,0,169.10247087478638
