familia,parametro,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
t_student,3,10,10000,0.1939,0.1971,0.1647,0.1044,NA,0.1881,0.2262,0.1553,0.1861,0.0747,0.2059,0,0,0,0,10000,0,0,0,0,0,0,76.56118154525757
t_student,3,25,10000,0.4117,0.3946,0.3081,0.3992,0.4527,0.3753,0.4668,0.2373,0.4071,0.0328,0.4376,0,0,0,0,0,0,0,0,0,0,0,78.15286636352539
t_student,3,50,10000,0.6355,0.6031,0.4754,0.663,0.663,0.5686,0.6955,0.3303,0.6476,0.0747,0.6608,0,0,0,0,0,0,0,0,0,0,0,74.98165321350098
t_student,3,100,10000,0.8768,0.8522,0.7396,0.8964,0.8777,0.8268,0.9077,0.5317,0.8864,0.368,0.8865,0,0,0,0,0,0,0,0,0,0,0,75.10645198822021
t_student,3,250,10000,0.9972,0.9948,0.9754,0.9977,0.9968,0.9918,0.9981,0.8684,0.9969,0.9148,0.9975,0,0,0,0,0,0,0,0,0,0,0,84.77053761482239
t_student,3,500,10000,1,0.9999,0.9997,1,1,0.9999,1,0.9936,1,0.9978,1,0,0,0,0,0,0,0,0,0,0,0,99.15852403640747
t_student,4,10,10000,0.1331,0.1325,0.1124,0.0602,NA,0.1259,0.1601,0.1092,0.1314,0.0663,0.1483,0,0,0,0,10000,0,0,0,0,0,0,78.1798791885376
t_student,4,25,10000,0.2789,0.2539,0.1904,0.2746,0.3328,0.2341,0.3301,0.1447,0.2831,0.0353,0.298,0,0,0,0,0,0,0,0,0,0,0,79.6700689792633
t_student,4,50,10000,0.4677,0.4171,0.302,0.5013,0.5073,0.3779,0.5323,0.1844,0.4786,0.0624,0.4888,0,0,0,0,0,0,0,0,0,0,0,77.00241613388062
t_student,4,100,10000,0.7059,0.6438,0.4898,0.7547,0.7239,0.5978,0.7622,0.2923,0.7323,0.2354,0.7175,0,0,0,0,0,0,0,0,0,0,0,76.56188702583313
t_student,4,250,10000,0.9609,0.9415,0.8379,0.9742,0.9602,0.9192,0.9738,0.5703,0.972,0.7285,0.9647,0,0,0,0,0,0,0,0,0,0,0,84.38340973854065
t_student,4,500,10000,0.9992,0.9989,0.9835,0.9997,0.9994,0.9973,0.9997,0.8576,0.9997,0.9701,0.9997,0,0,0,0,0,0,0,0,0,0,0,97.86406970024109
t_student,5,10,10000,0.1096,0.11,0.0966,0.0468,NA,0.1029,0.1308,0.0995,0.1042,0.064,0.1177,0,0,0,0,10000,0,0,0,0,0,0,80.23593282699585
t_student,5,25,10000,0.2209,0.1976,0.1448,0.2169,0.2724,0.18,0.2625,0.1183,0.2222,0.038,0.2387,0,0,0,0,0,0,0,0,0,0,0,79.88226747512817
t_student,5,50,10000,0.3569,0.3045,0.2128,0.3991,0.4083,0.2755,0.4165,0.1345,0.3704,0.0541,0.3759,0,0,0,0,0,0,0,0,0,0,0,76.68151187896729
t_student,5,100,10000,0.5555,0.4825,0.3336,0.6204,0.5893,0.4351,0.6231,0.1827,0.5883,0.173,0.5646,0,0,0,0,0,0,0,0,0,0,0,72.08416080474854
t_student,5,250,10000,0.8797,0.8171,0.632,0.9163,0.89,0.7755,0.9115,0.3417,0.9082,0.526,0.8803,0,0,0,0,0,0,0,0,0,0,0,82.1357204914093
t_student,5,500,10000,0.9906,0.9801,0.8946,0.9926,0.9897,0.9643,0.9936,0.5888,0.9937,0.8618,0.9903,0,0,0,0,0,0,0,0,0,0,0,95.82668089866638
t_student,6,10,10000,0.101,0.0974,0.0874,0.0399,NA,0.0937,0.1187,0.0951,0.0932,0.0648,0.1083,0,0,0,0,10000,0,0,0,0,0,0,78.06001377105713
t_student,6,25,10000,0.1799,0.1551,0.119,0.1731,0.2239,0.1424,0.2144,0.0968,0.179,0.0411,0.1919,0,0,0,0,0,0,0,0,0,0,0,79.83551383018494
t_student,6,50,10000,0.2798,0.2279,0.1543,0.3235,0.3304,0.2024,0.3366,0.0984,0.2931,0.0475,0.2953,0,0,0,0,0,0,0,0,0,0,0,74.1963438987732
t_student,6,100,10000,0.4563,0.3656,0.2387,0.5251,0.4955,0.3179,0.5269,0.1288,0.4851,0.1268,0.4636,0,0,0,0,0,0,0,0,0,0,0,72.42580270767212
t_student,6,250,10000,0.7718,0.67,0.461,0.8302,0.7919,0.6083,0.8206,0.216,0.818,0.3944,0.7687,0,0,0,0,0,0,0,0,0,0,0,79.3851408958435
t_student,6,500,10000,0.9575,0.9128,0.7377,0.9761,0.9656,0.8751,0.9697,0.3668,0.9769,0.7248,0.9536,0,0,0,0,0,0,0,0,0,0,0,94.89574575424194
