escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
C1_dass_anxiety,8,10,10000,0.0802,0.0762,0.0672,0.0088,NA,0.0717,0.0706,0.0889,0.0489,0.1665,0.0601,0,0,0,0,10000,0,0,0,0,0,0,73.65383768081665
C1_dass_anxiety,8,25,10000,0.2029,0.1708,0.1187,0.0153,0.0781,0.147,0.1256,0.1219,0.1023,0.3554,0.1397,0,0,0,0,0,0,0,0,0,0,0,74.4403326511383
C1_dass_anxiety,8,50,10000,0.5474,0.4074,0.2473,0.0319,0.1919,0.3189,0.364,0.1998,0.2044,0.5889,0.3774,0,0,0,0,0,0,0,0,0,0,0,72.19433069229126
C1_dass_anxiety,8,100,10000,0.9521,0.806,0.5385,0.3154,0.66,0.6608,0.855,0.4723,0.3922,0.8508,0.7566,0,0,0,0,0,0,0,0,0,0,0,68.73043751716614
C1_dass_anxiety,8,250,10000,1,0.9998,0.9778,0.9991,0.9998,0.9915,1,0.9844,0.8016,0.9972,0.9993,0,0,0,0,0,0,0,0,0,0,0,75.22612571716309
C1_dass_anxiety,8,500,10000,1,1,1,1,1,1,1,1,0.9797,1,1,0,0,0,0,0,0,0,0,0,0,0,91.98108220100404
C1_dass_anxiety,8,1000,10000,1,1,1,1,1,1,1,1,0.9999,1,1,0,0,0,0,0,0,0,0,0,0,0,126.61934995651244
C1_dass_anxiety,8,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,161.36604595184326
