familia,parametro,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
mezcla_normal,1,250,10000,1,1,1,1,1,1,1,1,0.9248,1,1,0,0,0,0,0,0,0,0,0,0,0,131.89297246932983
mezcla_normal,1,500,10000,1,1,1,1,1,1,1,1,0.9943,1,1,0,0,0,0,0,0,0,0,0,0,0,155.684711933136
mezcla_normal,2,10,10000,0.1081,0.1099,0.1004,0.016,NA,0.1056,0.0999,0.1082,0.0608,0.1585,0.0889,0,0,0,0,10000,0,0,0,0,0,0,128.14536094665527
mezcla_normal,2,25,10000,0.2591,0.2775,0.2239,0.0411,0.1177,0.2794,0.2029,0.1873,0.0999,0.4107,0.2396,0,0,0,0,0,0,0,0,0,0,0,130.41670608520508
mezcla_normal,2,50,10000,0.5373,0.577,0.4682,0.1012,0.2385,0.5703,0.4391,0.3102,0.1623,0.6872,0.5371,0,0,0,0,0,0,0,0,0,0,0,125.45692777633667
mezcla_normal,2,100,10000,0.8719,0.9004,0.8057,0.4346,0.6389,0.8953,0.8117,0.5912,0.2399,0.9276,0.8777,0,0,0,0,0,0,0,0,0,0,0,119.85789251327515
mezcla_normal,2,250,10000,1,0.9999,0.998,0.9954,0.9977,0.9996,0.9996,0.9618,0.4239,0.9999,0.9998,0,0,0,0,0,0,0,0,0,0,0,130.39263105392456
mezcla_normal,2,500,10000,1,1,1,1,1,1,1,1,0.6281,1,1,0,0,0,0,0,0,0,0,0,0,0,153.76158165931702
mezcla_normal,3,10,10000,0.0774,0.0784,0.0747,0.016,NA,0.0789,0.086,0.0897,0.0548,0.0986,0.0754,0,0,0,0,10000,0,0,0,0,0,0,126.95833396911623
mezcla_normal,3,25,10000,0.1532,0.1529,0.1272,0.0606,0.1129,0.149,0.1429,0.104,0.0636,0.1666,0.1503,0,0,0,0,0,0,0,0,0,0,0,128.82087564468384
mezcla_normal,3,50,10000,0.3027,0.3017,0.2366,0.1265,0.1766,0.2856,0.2654,0.146,0.065,0.2982,0.3068,0,0,0,0,0,0,0,0,0,0,0,123.16758012771606
mezcla_normal,3,100,10000,0.5481,0.5518,0.4317,0.3237,0.3665,0.5302,0.5033,0.2305,0.0707,0.493,0.566,0,0,0,0,0,0,0,0,0,0,0,118.96430778503418
mezcla_normal,3,250,10000,0.9383,0.936,0.847,0.8561,0.8669,0.9225,0.9204,0.5552,0.0713,0.8853,0.9492,0,0,0,0,0,0,0,0,0,0,0,130.3195285797119
mezcla_normal,3,500,10000,0.9987,0.9988,0.9906,0.9973,0.9973,0.9981,0.9981,0.8961,0.0651,0.9959,0.9991,0,0,0,0,0,0,0,0,0,0,0,149.89645528793335
mezcla_normal,4,10,10000,0.0654,0.0649,0.0598,0.0158,NA,0.0632,0.0744,0.0754,0.0556,0.0812,0.0673,0,0,0,0,10000,0,0,0,0,0,0,126.69166398048401
mezcla_normal,4,25,10000,0.1051,0.0957,0.078,0.0651,0.1117,0.0885,0.1114,0.0799,0.0691,0.0831,0.1066,0,0,0,0,0,0,0,0,0,0,0,130.7238359451294
mezcla_normal,4,50,10000,0.1613,0.1368,0.1092,0.1282,0.1581,0.1264,0.1701,0.079,0.0837,0.091,0.1652,0,0,0,0,0,0,0,0,0,0,0,125.31957769393921
mezcla_normal,4,100,10000,0.2679,0.2329,0.1756,0.2364,0.2525,0.2084,0.2768,0.0944,0.1059,0.1434,0.2898,0,0,0,0,0,0,0,0,0,0,0,120.83384823799133
mezcla_normal,4,250,10000,0.5651,0.5062,0.3731,0.5354,0.5407,0.4647,0.5631,0.168,0.1677,0.3211,0.6103,0,0,0,0,0,0,0,0,0,0,0,132.38349556922913
mezcla_normal,4,500,10000,0.8567,0.809,0.6467,0.8443,0.8457,0.7656,0.8551,0.3162,0.2728,0.591,0.8932,0,0,0,0,0,0,0,0,0,0,0,153.152508020401
mezcla_normal,5,10,10000,0.062,0.0606,0.0574,0.0134,NA,0.0586,0.0737,0.0714,0.053,0.0764,0.0649,0,0,0,0,10000,0,0,0,0,0,0,126.3270046710968
mezcla_normal,5,25,10000,0.0713,0.0633,0.0598,0.0568,0.0927,0.0593,0.0841,0.0614,0.07,0.0694,0.0748,0,0,0,0,0,0,0,0,0,0,0,129.60888123512268
mezcla_normal,5,50,10000,0.0827,0.0661,0.0545,0.0921,0.1089,0.0625,0.1031,0.0525,0.0852,0.0543,0.09,0,0,0,0,0,0,0,0,0,0,0,123.50367498397827
mezcla_normal,5,100,10000,0.1096,0.0809,0.0661,0.1387,0.136,0.0745,0.1397,0.0603,0.1145,0.055,0.1096,0,0,0,0,0,0,0,0,0,0,0,119.2018141746521
mezcla_normal,5,250,10000,0.1553,0.1025,0.0763,0.2195,0.1886,0.0896,0.2033,0.061,0.1803,0.0785,0.1518,0,0,0,0,0,0,0,0,0,0,0,131.10098433494568
mezcla_normal,5,500,10000,0.2408,0.1585,0.0963,0.3205,0.2743,0.1336,0.2939,0.0631,0.2938,0.1284,0.2159,0,0,0,0,0,0,0,0,0,0,0,153.19428634643555
